QingDao,47.104.38.82,oss-cn-qingdao.aliyuncs.com
BeiJing,59.110.190.69,oss-cn-beijing.aliyuncs.com
ZhangJiaKou,47.92.17.36,oss-cn-zhangjiakou.aliyuncs.com
HuHeHaoTe,39.104.9.1,oss-cn-huhehaote.aliyuncs.com
ULanChaBu,39.101.35.62,oss-cn-wulanchabu.aliyuncs.com
HangZhou,118.31.219.247,oss-cn-hangzhou.aliyuncs.com
ShangHai,106.14.228.194,oss-cn-shanghai.aliyuncs.com
ShenZhen,120.77.166.226,oss-cn-shenzhen.aliyuncs.com
HeYuan,47.113.155.0,oss-cn-heyuan.aliyuncs.com
GuangZhou,8.134.16.0,oss-cn-guangzhou.aliyuncs.com
ChengDu,47.108.5.136,oss-cn-chengdu.aliyuncs.com
NanJing,47.122.12.0,oss-cn-nanjing.aliyuncs.com
HongKong,47.75.18.13,oss-cn-hongkong.aliyuncs.com
SiliconValley,47.88.73.1,oss-us-west-1.aliyuncs.com
Virginia,47.252.95.42,oss-us-east-1.aliyuncs.com
Singapore,47.74.196.40,oss-ap-southeast-1.aliyuncs.com
Sydney,47.91.39.21,oss-ap-southeast-2.aliyuncs.com
Kuala_Lumpur,47.254.218.88,oss-ap-southeast-3.aliyuncs.com
Jakarta,149.129.200.96,oss-ap-southeast-5.aliyuncs.com
Mumbai,149.129.143.101,oss-ap-south-1.aliyuncs.com
Tokyo,47.91.8.42,oss-ap-northeast-1.aliyuncs.com
Frankfurt,47.254.186.9,oss-eu-central-1.aliyuncs.com
Longdon,8.208.40.20,oss-eu-west-1.aliyuncs.com
Dubai,47.91.99.127,oss-me-east-1.aliyuncs.com
